site_code year month day hour minute second latitude longitude altitude_final type_altitude year_end month_end day_end hour_end minute_end second_end
ABT 2020 03 03 23 00 00 49.0114 -122.3353 33 0 2020 03 04 00 00 00
ABT 2020 03 04 23 00 00 49.0114 -122.3353 33 0 2020 03 05 00 00 00
ABT 2020 03 05 23 00 00 49.0114 -122.3353 33 0 2020 03 06 00 00 00
ABT 2020 03 06 23 00 00 49.0114 -122.3353 33 0 2020 03 07 00 00 00
ABT 2020 03 07 23 00 00 49.0114 -122.3353 33 0 2020 03 08 00 00 00
ABT 2020 03 08 23 00 00 49.0114 -122.3353 33 0 2020 03 09 00 00 00
ABT 2020 03 09 23 00 00 49.0114 -122.3353 33 0 2020 03 10 00 00 00
ABT 2020 03 10 23 00 00 49.0114 -122.3353 33 0 2020 03 11 00 00 00
ABT 2020 03 11 23 00 00 49.0114 -122.3353 33 0 2020 03 12 00 00 00
ABT 2020 03 12 23 00 00 49.0114 -122.3353 33 0 2020 03 13 00 00 00
ABT 2020 03 13 23 00 00 49.0114 -122.3353 33 0 2020 03 14 00 00 00
ABT 2020 03 14 23 00 00 49.0114 -122.3353 33 0 2020 03 15 00 00 00
ABT 2020 03 15 23 00 00 49.0114 -122.3353 33 0 2020 03 16 00 00 00
ABT 2020 03 16 23 00 00 49.0114 -122.3353 33 0 2020 03 17 00 00 00
ABT 2020 03 17 23 00 00 49.0114 -122.3353 33 0 2020 03 18 00 00 00
ABT 2020 03 18 23 00 00 49.0114 -122.3353 33 0 2020 03 19 00 00 00
ABT 2020 03 19 23 00 00 49.0114 -122.3353 33 0 2020 03 20 00 00 00
ABT 2020 03 20 23 00 00 49.0114 -122.3353 33 0 2020 03 21 00 00 00
ABT 2020 03 21 23 00 00 49.0114 -122.3353 33 0 2020 03 22 00 00 00
ABT 2020 03 22 23 00 00 49.0114 -122.3353 33 0 2020 03 23 00 00 00
ABT 2020 03 23 23 00 00 49.0114 -122.3353 33 0 2020 03 24 00 00 00
ABT 2020 03 24 23 00 00 49.0114 -122.3353 33 0 2020 03 25 00 00 00
ABT 2020 03 25 23 00 00 49.0114 -122.3353 33 0 2020 03 26 00 00 00
ABT 2020 03 26 23 00 00 49.0114 -122.3353 33 0 2020 03 27 00 00 00
ABT 2020 03 27 23 00 00 49.0114 -122.3353 33 0 2020 03 28 00 00 00
ABT 2020 03 28 23 00 00 49.0114 -122.3353 33 0 2020 03 29 00 00 00
ABT 2020 03 29 23 00 00 49.0114 -122.3353 33 0 2020 03 30 00 00 00
ABT 2020 03 30 23 00 00 49.0114 -122.3353 33 0 2020 03 31 00 00 00
ABT 2020 03 31 23 00 00 49.0114 -122.3353 33 0 2020 04 01 00 00 00
ABT 2020 04 01 23 00 00 49.0114 -122.3353 33 0 2020 04 02 00 00 00
ABT 2020 04 02 23 00 00 49.0114 -122.3353 33 0 2020 04 03 00 00 00
ABT 2020 04 03 23 00 00 49.0114 -122.3353 33 0 2020 04 04 00 00 00
ABT 2020 04 04 23 00 00 49.0114 -122.3353 33 0 2020 04 05 00 00 00
ABT 2020 04 05 23 00 00 49.0114 -122.3353 33 0 2020 04 06 00 00 00
ABT 2020 04 06 23 00 00 49.0114 -122.3353 33 0 2020 04 07 00 00 00
ABT 2020 04 07 23 00 00 49.0114 -122.3353 33 0 2020 04 08 00 00 00
ABT 2020 04 08 23 00 00 49.0114 -122.3353 33 0 2020 04 09 00 00 00
ABT 2020 04 09 23 00 00 49.0114 -122.3353 33 0 2020 04 10 00 00 00
ABT 2020 04 10 23 00 00 49.0114 -122.3353 33 0 2020 04 11 00 00 00
ABT 2020 04 11 23 00 00 49.0114 -122.3353 33 0 2020 04 12 00 00 00
ABT 2020 04 12 23 00 00 49.0114 -122.3353 33 0 2020 04 13 00 00 00
ABT 2020 04 13 23 00 00 49.0114 -122.3353 33 0 2020 04 14 00 00 00
ABT 2020 04 14 23 00 00 49.0114 -122.3353 33 0 2020 04 15 00 00 00
ABT 2020 04 15 23 00 00 49.0114 -122.3353 33 0 2020 04 16 00 00 00
ABT 2020 04 16 23 00 00 49.0114 -122.3353 33 0 2020 04 17 00 00 00
ABT 2020 04 17 23 00 00 49.0114 -122.3353 33 0 2020 04 18 00 00 00
ABT 2020 04 18 23 00 00 49.0114 -122.3353 33 0 2020 04 19 00 00 00
ABT 2020 04 19 23 00 00 49.0114 -122.3353 33 0 2020 04 20 00 00 00
ABT 2020 04 20 23 00 00 49.0114 -122.3353 33 0 2020 04 21 00 00 00
ABT 2020 04 21 23 00 00 49.0114 -122.3353 33 0 2020 04 22 00 00 00
ABT 2020 04 22 23 00 00 49.0114 -122.3353 33 0 2020 04 23 00 00 00
ABT 2020 04 23 23 00 00 49.0114 -122.3353 33 0 2020 04 24 00 00 00
ABT 2020 04 24 23 00 00 49.0114 -122.3353 33 0 2020 04 25 00 00 00
ABT 2020 04 25 23 00 00 49.0114 -122.3353 33 0 2020 04 26 00 00 00
ABT 2020 04 26 23 00 00 49.0114 -122.3353 33 0 2020 04 27 00 00 00
ABT 2020 04 27 23 00 00 49.0114 -122.3353 33 0 2020 04 28 00 00 00
ABT 2020 04 28 23 00 00 49.0114 -122.3353 33 0 2020 04 29 00 00 00
ABT 2020 04 29 23 00 00 49.0114 -122.3353 33 0 2020 04 30 00 00 00
ABT 2020 04 30 23 00 00 49.0114 -122.3353 33 0 2020 05 01 00 00 00
ABT 2020 05 01 23 00 00 49.0114 -122.3353 33 0 2020 05 02 00 00 00
ABT 2020 05 02 23 00 00 49.0114 -122.3353 33 0 2020 05 03 00 00 00
ABT 2020 05 03 23 00 00 49.0114 -122.3353 33 0 2020 05 04 00 00 00
ABT 2020 05 04 23 00 00 49.0114 -122.3353 33 0 2020 05 05 00 00 00
ABT 2020 05 05 23 00 00 49.0114 -122.3353 33 0 2020 05 06 00 00 00
ABT 2020 05 06 23 00 00 49.0114 -122.3353 33 0 2020 05 07 00 00 00
ABT 2020 05 07 23 00 00 49.0114 -122.3353 33 0 2020 05 08 00 00 00
ABT 2020 05 08 23 00 00 49.0114 -122.3353 33 0 2020 05 09 00 00 00
